─────────────────────────────── Lead Collector ────────────────────────────────
Segments to collect: 8
Target per segment:  300 leads
    – Homedom Mój Dom generalne wykonastwo           
    – Torus                                          
    – A. S. Sędek                                    
    – Własny Kąt                                     
    – Kaczmarek Nieruchomości                        
    – Odrzywolska & Wójcik Nieruchomości             
    – ARTFLAT Nieruchomości                          
    – Nordhome                                       
    – Biuro Nieruchomości Józef Kufel Nieruchomości  
    – Minterglobal Andrzej Izdebski                  
    – Wiślany Mokotów                                
    – Dobrzenieccy Nieruchomości / Todex             
    – Krawczak                                       
    – Zachód Nieruchomości                           
    – Cimerman                                       
    ✓ MH Construction                                
https://www.linkedin.com/company/mhconstruction/
    – Kamienica Wiedeńska                            
    – Piasecka Nieruchomości                         
    – Inter-Haus                                     
    – Kanon nieruchomości                            
    – Bliskie Centrum Nieruchomości                  
    – Borowicz nieruchomości                         
    – Sverum                                         
    ✓ Savana                                         
https://www.linkedin.com/company/vana/
    – Fort Służew                                    
    – Kurmańska                                      
    – WGN Nieruchomości                              
    – Terra Nieruchomości                            
    – Nieruchomości Domex                            
    – Biuro Obsługi Nieruchomości BON                
    – Mościcki Nieruchomości                         
    – Nieruchomości Plus+ s.c.                       
    – Wesserling Nieruchomości                       
    – Biuro Nieruchomości Jarosław Byrwa             
    – Świat Nieruchomości - Bracia Juszczak          
    – Nieruchomości Karkonoskie                      
    – Hewelt Nieruchomości                           
    – Nieruchomości Wilanów                          
    – Agencja Baranowski                             
    – 4sale                                          
    – Marsta                                         
    – Pionier                                        
    – Domi Nieruchomości                             
    – SK Nieruchomości                               
    – NLiberty                                       
    – Technocasa                                     
    – Multiagencja Dom                               
    – Filar                                          
    – Biuro sprzedarzy                               
    – Baszta Nieruchomości                           
    – Firma deweloperska "KOS-BUD" Andrzej Kostrzew  
    – Dąbrowscy Nieruchomości EM4                    
    – Sikorska & Szmaja                              
    – Gruno nieruchomości                            
    – Osiedle Malownicze Sp. z o.o. Biuro Sprzedaży  
    – Apartamentowiec                                
    – Budziak Nieruchomości                          
    – Magnat Nieruchomości                           
    – ARG Sp. z o.o.                                 
    – Florczyk Mikołaj                               
    – Uni-Group                                      
    – Elite Nieruchomości                            
    – Investing                                      
    – M-Doradcy                                      
    – Gawra nieruchomości                            
    – Lokum                                          
    – LEGRA                                          
    – Biuro Sprzedaży Apartamentów                   
    – Świat Nieruchomości                            
    – Rentumi properties                             
    – Izyda Nieruchomości                            
    – HOMELA Nieruchomości                           
    – Home                                           
    – Ericpol Nieruchomości Sp. z o.o.               
    – Siemaszko                                      
    – nieruchomości Brożek                           
    – Better Life                                    
    ✓ Finans                                         
https://www.linkedin.com/company/finans/
    – Sablik                                         
    – Nyczka nieruchomości                           
    – Vista nieuchomości                             
    – PW Biuro Nieruchomości                         
    – Nieruchomości "Jaśkiewicz"                     
    – Bracia Miklewscy                               
    – ELLEMAK                                        
    – Optimum Nieruchomości                          
    – Architecture Vento                             
    – Karsznia Nieruchomości                         
    – Gotan                                          
    – Apartamenty Platinium                          
    – "Kamienica" Nieruchomości                      
    – Rezydent                                       
    – Dommar Nieruchomości                           
    – MK Nieruchomości                               
    – Invicus                                        
    – Ekonbud-Fadom                                  
    ✓ Mytych                                         
https://www.linkedin.com/company/mytych/
    – Kantor Nieruchomości                           
    – Ardom                                          
    – Progres-A                                      
    – Randal Nieruchomosci                           
    – Agrobex                                        
    ✓ "Sylmar" Nieruchomości                         
https://www.linkedin.com/company/sylmar/
    – specHouse                                      
    – spravia                                        
    – Nieruchomości WEX                              
    – "Dalar" Nieruchomości                          
    – SOBE Nieruchomości                             
    – Vivir                                          
    – Gep House Development                          
    – Master Invest                                  
    – Arenda                                         
    – Biuro nieruchomości Interior                   
    – Kontrakt Plus                                  
    – T1 Deweloper                                   
    – Capital-Invest                                 
    – Bem Nieruchomości                              
    – Bissmyk                                        
    – Martex Consulting                              
    – Nieruchomości Centrum                          
    – ShortStayPoland.com                            
    – Partner Nieruchomości                          
    – Nieruchomości ABC                              
    – Area House                                     
    – Biuro Obrotu Nieruchomościami                  
    – EuroHome                                       
    – MOREK Nieruchomości                            
    – UR.place                                       
    – MiT                                            
    – Wasilewski Development                         
    – Grodzki Development                            
    – Freedom                                        
    – assethome                                      
    – Zachodniopomorskie Centrum Nieruchomości       
    ✓ Fort                                           
https://www.linkedin.com/company/fort/
    – Nieruchomości Suliga                           
    ✓ Biuro Sprzedaży Inwestycji "Ursus Centralny"   
https://www.linkedin.com/company/ronson/
    – Proxin                                         
    – Empire                                         
    – Danax Nieruchomości                            
    – Kieleckie Towarzystwo Budownictwa Społecznego  
    – Azbud                                          
    – To jest To Biuro Nieruchomośći                 
    – Megakot                                        
    – Dom-Krak                                       
    – Centrum Obsługi Rynku Nieruchomości            
    – Express home                                   
    – House point                                    
    – ARIA WRC Development                           
    – Wrocław For Rent                               
    – Goat Nieruchomości                             
    – Biuro Obsługi Rezerwacji Jantar Apartamenty K  

  LinkedIn found: 12/297
  Saved 0 new leads to DB
  CSV → leads_export\leads_PL_Real_Estate.csv  (297 rows)

───────────────────────────── IT / IT & Software ──────────────────────────────
  [  1] overpass     Effebi Informatica
  [  2] overpass     Pentasoft S.R.L.
  [  3] overpass     Regola S.r.l.
  [  4] overpass     Infordata Sistemi
  [  5] overpass     Pharmagest Italia
  [  6] overpass     RTS Sistemi Informativi
  [  7] overpass     Systems GmbH
  [  8] overpass     Amelya
  [  9] overpass     Intecs S.P.A.
  [ 10] overpass     Sem Automazione
  [ 11] overpass     Dogma Solutions
  [ 12] overpass     Italdata
  [ 13] overpass     Facile di Premarini Fabio
  [ 14] overpass     Performer
  [ 15] overpass     SIT - Studio Informatico Toscano
  [ 16] overpass     Microsoft
  [ 17] overpass     Soasi soc.coop.
  [ 18] overpass     Webrain
  [ 19] overpass     Mobile App
  [ 20] overpass     Softec
  [ 21] overpass     GeneSYS Informatica srl
  [ 22] overpass     BitDesign
  [ 23] overpass     X-Laboratories
  [ 24] overpass     Saritron
  [ 25] overpass     Aruba Marketing s.r.l.
  [ 26] overpass     BL Acoustics srl
  [ 27] overpass     Doshin Studio Creativo
  [ 28] overpass     Kode srl
  [ 29] overpass     APUACOM - Internet service provider
  [ 30] overpass     R3GIS
  [ 31] overpass     HiperZ
  [ 32] overpass     Web Agency InfoWebLan
  [ 33] overpass     EVE Milano Consulenza
  [ 34] overpass     traduzioni inglese->italiano
  [ 35] overpass     Tecnico Informatico
  [ 36] overpass     WebNet
  [ 37] overpass     Lepri Michele
  [ 38] overpass     Open One Consulting
  [ 39] overpass     Arioni
  [ 40] overpass     BR1 Tech Srl
  [ 41] overpass     Gabriele Coppini
  [ 42] overpass     Webaza Web
  [ 43] overpass     Z3N.it
  [ 44] overpass     Webstrike Srl
  [ 45] overpass     NetGuru S.r.l.
  [ 46] overpass     Euro One Sistemi
  [ 47] overpass     Andrea Papotti - Consulente Informatico
  [ 48] overpass     HI-Net srl
  [ 49] overpass     Novadys ITalia s.r.l.
  [ 50] overpass     Pensare web s.r.l.
  [ 51] overpass     Zeppelinmaker
  [ 52] overpass     ACS Data Systems
  [ 53] overpass     piloly.com GmbH
  [ 54] overpass     Laboratori Informatici (LabInf1)
  [ 55] overpass     TEIS s.r.l.
  [ 56] overpass     AD Solutions di Angeli Daniele
  [ 57] overpass     Trilogis srl
  [ 58] overpass     Think Tank WebAgency
  [ 59] overpass     Trentino Sistemi s.r.l.
  [ 60] overpass     Ricca It
  [ 61] overpass     Crunchlab
  [ 62] overpass     Aldersoft S.a.S
  [ 63] overpass     Blue Day
  [ 64] overpass     Computers House
  [ 65] overpass     Acodat GmbH / Srl
  [ 66] overpass     Ingenioweb
  [ 67] overpass     Holala Web
  [ 68] overpass     Helix S.r.l.
  [ 69] overpass     DaniSoft Srl
  [ 70] overpass     Black Sun Factory S.r.l.
  [ 71] overpass     Netcraft Studio
  [ 72] overpass     Laboratori Guglielmo Marconi
  [ 73] overpass     Epiave di Bellinzani Daniele
  [ 74] overpass     Apulia Software s.r.l.
  [ 75] overpass     Rainbow CGI
  [ 76] overpass     Swifty Srl
  [ 77] overpass     Consulenza Elaborazione Dati 2001
  [ 78] overpass     Artigiani del Web S.n.c.
  [ 79] overpass     AZ Tecnologia
  [ 80] overpass     LAC Service - Informatica - Robotica - Automazione
  [ 81] overpass     Sergio Masala
  [ 82] overpass     Giandomenico Lombardi
  [ 83] overpass     Webem-lab Strategie Per il Web
  [ 84] overpass     Valvolari
  [ 85] overpass     LSH-Software
  [ 86] overpass     Vivere Web
  [ 87] overpass     Computerspeed
  [ 88] overpass     Raffaello S.r.l.s.
  [ 89] overpass     RESET informatica
  [ 90] overpass     Levante software
  [ 91] overpass     Halley Sardegna
  [ 92] overpass     SpecTec S.P.A.
  [ 93] overpass     Mito Srl
  [ 94] overpass     Mori Sistemi
  [ 95] overpass     Overclockersmania Club (OCSM)
  [ 96] overpass     Isiline
  [ 97] overpass     Agenzia Filodiretto
  [ 98] overpass     NWHR S.r.l.s.
  [ 99] overpass     Tekio
  [100] overpass     Skrik
  [101] overpass     NewEnergy
  [102] overpass     Movisystem S.r.l.
  [103] overpass     Wide
  [104] overpass     Engineering Ingegneria Informatica S.p.A.
  [105] overpass     STS Srl
  [106] overpass     Iscanet
  [107] overpass     Sisac Sistemi
  [108] overpass     Parametric Design Srl
  [109] overpass     Hipatia.net
  [110] overpass     smartbee | web social agency
  [111] overpass     Spin
  [112] overpass     BIDATA
  [113] overpass     Sanmarco Informatica Spa
  [114] overpass     Belvedere sistemi reti e sicurezza dati aziendali
  [115] overpass     Procne srl
  [116] overpass     Impresa Rossi Lugi Srl
  [117] overpass     Web Creation Crew
  [118] overpass     Geeks
  [119] overpass     Agenzia Uno
  [120] overpass     4You
  [121] overpass     Studio Nassisi
  [122] overpass     Cliocom
  [123] overpass     Rubino Informatica & Finanza
  [124] overpass     Modic
  [125] overpass     GEM Informatica
  [126] overpass     Aderit S.r.l
  [127] overpass     Casa Digitale
  [128] overpass     Penta srl
  [129] overpass     EBWorld s.r.l.
  [130] overpass     Obitel
  [131] overpass     GP Informatica
  [132] overpass     Netribe
  [133] overpass     IBS SAS
  [134] overpass     Internet Point Creative
  [135] overpass     NetHome
  [136] overpass     Centro Dati, Informatica e telematica di Ateneo (C
  [137] overpass     Data Consult
  [138] overpass     BIP Red
  [139] overpass     CostaSoft di Luca Pellegrini
  [140] overpass     NTT Data Italia
  [141] overpass     Teleset
  [142] overpass     NonSoloInformatica srl
  [143] overpass     YetOpen S.r.l.
  [144] overpass     MagicSolution s.r.l.
  [145] overpass     SmartNet s.r.l.
  [146] overpass     PolesineLab
  [147] overpass     SIA Servizio Informatico Ospedaliero
  [148] overpass     EL.DA System srl elaborazione dati
  [149] overpass     MVitalia di Maurizio Voglino
  [150] overpass     Maint System
  [151] overpass     GLDT Consulting
  [152] overpass     Gananet
  [153] overpass     Record Data
  [154] overpass     Wemapp
  [155] overpass     Innovyou
  [156] overpass     Web Project
  [157] overpass     Mklab Centro Assistenza Informatica
  [158] overpass     Tagetik
  [159] overpass     Zucchetti
  [160] overpass     Gianleo Canestrino
  [161] overpass     Forma Srl
  [162] overpass     Telemar
  [163] overpass     Mead Informatica
  [164] overpass     Wide Academy
  [165] overpass     ENAC Veneto
  [166] overpass     Net Genesis
  [167] overpass     ICT Dynamic
  [168] overpass     Made Siti Web
  [169] overpass     CAST SYS-DAT GROUP
  [170] overpass     CIA - Confederazione Italiana Agricoltori
  [171] overpass     Polyskills.it
  [172] overpass     MG Informatica
  [173] overpass     Imola Informatica
  [174] overpass     Sergio Vecchi & C. SNC
  [175] overpass     Motta sistemi
  [176] overpass     NemesiX Srl
  [177] overpass     GSI Soluzioni Informatiche
  [178] overpass     New Technology sas
  [179] overpass     Microkey
  [180] overpass     Euris
  [181] overpass     levelzero.it - Consulenza Informatica
  [182] overpass     Backloop
  [183] overpass     Comunicazione e Immagine di David Coen
  [184] overpass     Daniele Tomei
  [185] overpass     Pasquale 'sid' Fiorillo - IT Security Auditor
  [186] overpass     Sbam Industrie Digitali
  [187] overpass     TeknoTeam
  [188] overpass     Selda
  [189] overpass     3 Bit Solutions
  [190] overpass     Dgcom S.r.l.
  [191] overpass     SmartSiti
  [192] overpass     CPE Sistemi di Paolo Campora
  [193] overpass     Developing.it
  [194] overpass     ITSERVICENET
  [195] overpass     Levita srl
  [196] overpass     Istrice srl
  [197] overpass     Synapta
  [198] overpass     Ricoh Italia
  [199] overpass     Antreem
  [200] overpass     MathWorks Italia
  [201] overpass     Laser Informatica
  [202] overpass     Novus Studios
  [203] overpass     Charta servizi e sistemi per il territorio e la st
  [204] overpass     Gruppo Sigla
  [205] overpass     Progetti Brescia S.r.l.
  [206] overpass     Ivan Zaccaron
  [207] overpass     Iviso Lab
  [208] overpass     Integrated Solutions SRL
  [209] overpass     CRESO
  [210] overpass     Geologo Stefano Brugnaro
  [211] overpass     Connecting Italia
  [212] overpass     TekSoft
  [213] overpass     Neonevis Srl
  [214] overpass     2M Digitech
  [215] overpass     Nethesis
  [216] overpass     Crispy Bacon Srl
  [217] overpass     Dot Next
  [218] overpass     NTT Data
  [219] overpass     Olivetti
  [220] overpass     Purple soft
  [221] overpass     Drone System / Grandalab / Seven Team
  [222] overpass     WellVenice S.A.S. di Savonuzzi Cristina & C.
  [223] overpass     Corilla Srl
  [224] overpass     ER Informatica
  [225] overpass     inKnot Srls
  [226] overpass     Made in Bit
  [227] overpass     Made in App
  [228] overpass     Sistemi Reggio Emilia
  [229] overpass     Ricoh
  [230] overpass     Myntech s.r.l.
  [231] overpass     Safety21 S.P.A.
  [232] overpass     PrivacyLab
  [233] overpass     Sofos
  [234] overpass     Siteam
  [235] overpass     The Web Engine
  [236] overpass     LogicLab
  [237] overpass     Brianza Sistemi Informatici
  [238] overpass     Massive Informatica
  [239] overpass     Digital Queen
  [240] overpass     Collins IT Solutions
  [241] overpass     Mario Calafiore Telecommunication
  [242] overpass     Gruppo Sergros
  [243] overpass     Eniacom Srl
  [244] overpass     Telebit Consulting S.r.l.
  [245] overpass     Sis.Ter
  [246] overpass     Software Workers
  [247] overpass     Open Fiber
  [248] overpass     Global System
  [249] overpass     GeoSolutions S.A.S. Offices
  [250] overpass     Ctr Service
  [251] overpass     Pacem
  [252] overpass     PC e stuti
  [253] overpass     Niutrox
  [254] overpass     Ing. Francesco Scorziero
  [255] overpass     Gruppo FOS
  [256] overpass     Europa Computer
  [257] overpass     HTS - Hi-Tech Services
  [258] overpass     Office Computers Solution
  [259] overpass     Centro Friuli
  [260] overpass     FVG-IX – Friuli Venezia Giulia Internet eXchange
  [261] overpass     Sistemi Cuneo
  [262] overpass     Multiwire
  [263] overpass     Devcode srl
  [264] overpass     S. H. D.
  [265] overpass     Tenenga
  [266] overpass     Associazione Rousseau
  [267] overpass     Adrias Online
  [268] overpass     I3Lab
  [269] overpass     Softwarrando
  [270] overpass     Coin Store
  [271] overpass     Opensoftware Srl
  [272] overpass     ION Trading
  [273] overpass     Ottozero
  [274] overpass     Vemenia Data System
  [275] overpass     Aesys
  [276] overpass     Spark Security
  [277] overpass     ICT Anastasi
  [278] overpass     Faunalia SRL
  [279] overpass     EPROM
  [280] overpass     Uniservices srl
  [281] overpass     Inner Web S.r.l.
  [282] overpass     Italy Adsl
  [283] overpass     Endo7 GmbH
  [284] overpass     Contradata
  [285] overpass     Modi - Società di Consulenza e formazione Qualità 
  [286] overpass     Goccia Di Carnia Spa
  [287] overpass     Hexation
  [288] overpass     Turcotronics
  [289] overpass     Parentesikuadra Srl
  [290] overpass     Cobryx s.r.l.
  [291] overpass     Arte nel Web
  [292] overpass     MaintSoft
  [293] overpass     Reply
  [294] overpass     Zattara S.R.L.
  [295] overpass     I-node Consulenza Informatica
  [296] overpass     Tritatasti S.N.C.
  [297] overpass     Connessioni
  [298] overpass     Dedagroup
  [299] overpass     SUZOHAPP

  Discovered 299 companies
  Finding LinkedIn URLs (this takes ~20 min)…
    – Effebi Informatica                             
    – Pentasoft S.R.L.                               
    – Regola S.r.l.                                  
    – Infordata Sistemi                              
    – Pharmagest Italia                              
    – RTS Sistemi Informativi                        
    – Systems GmbH                                   
    – Amelya                                         
    – Intecs S.P.A.                                  
    – Sem Automazione                                
    – Dogma Solutions                                
    – Italdata                                       
    – Facile di Premarini Fabio                      
    – Performer                                      
    – SIT - Studio Informatico Toscano               
    – Microsoft                                      
    ✓ Webrain                                        
https://www.linkedin.com/company/webrain/
    – Soasi soc.coop.                                
    – Mobile App                                     
    – Softec                                         
    – GeneSYS Informatica srl                        
    – BitDesign                                      
    – X-Laboratories                                 
    – Saritron                                       
    – Aruba Marketing s.r.l.                         
    – BL Acoustics srl                               
    – Doshin Studio Creativo                         
    – Kode srl                                       
    – APUACOM - Internet service provider            
    – R3GIS                                          
    – HiperZ                                         
    – Web Agency InfoWebLan                          
    – EVE Milano Consulenza                          
    ✓ Tecnico Informatico                            
https://www.linkedin.com/company/tecnico-informatico/
    – traduzioni inglese->italiano                   
    – WebNet                                         
    – Lepri Michele                                  
    – Open One Consulting                            
    – Arioni                                         
    – BR1 Tech Srl                                   
    – Gabriele Coppini                               
    – Webaza Web                                     
    – Z3N.it                                         
    ✓ NetGuru S.r.l.                                 
https://www.linkedin.com/company/netguru/
    – Webstrike Srl                                  
    – Euro One Sistemi                               
    – Andrea Papotti - Consulente Informatico        
    – HI-Net srl                                     
    – Novadys ITalia s.r.l.                          
    – Pensare web s.r.l.                             
    – Zeppelinmaker                                  
    – ACS Data Systems                               
    – piloly.com GmbH                                
    ✓ TEIS s.r.l.                                    
https://www.linkedin.com/company/teis/
    – Laboratori Informatici (LabInf1)               
    ✓ Trilogis srl                                   
https://www.linkedin.com/company/trilogis/
    – AD Solutions di Angeli Daniele                 
    ✓ Trentino Sistemi s.r.l.                        
https://www.linkedin.com/company/trentino-sistemi/
    – Think Tank WebAgency                           
    – Ricca It                                       
    – Crunchlab                                      
    – Aldersoft S.a.S                                
    – Blue Day                                       
    – Computers House                                
    – Acodat GmbH / Srl                              
    – Ingenioweb                                     
    – Holala Web                                     
    – Helix S.r.l.                                   
    – DaniSoft Srl                                   
    – Black Sun Factory S.r.l.                       
    ✓ Laboratori Guglielmo Marconi                   
https://www.linkedin.com/company/laboratori-guglielmo-marconi/
    – Netcraft Studio                                
    – Epiave di Bellinzani Daniele                   
    – Apulia Software s.r.l.                         
    ✓ Swifty Srl                                     
https://www.linkedin.com/company/swifty/
    – Rainbow CGI                                    
    – Consulenza Elaborazione Dati 2001              
    – Artigiani del Web S.n.c.                       
    – AZ Tecnologia                                  
    – LAC Service - Informatica - Robotica - Automa  
    – Sergio Masala                                  
    – Giandomenico Lombardi                          
    – Webem-lab Strategie Per il Web                 
    – Valvolari                                      
    – LSH-Software                                   
    – Vivere Web                                     
    – Computerspeed                                  
    – Raffaello S.r.l.s.                             
    – RESET informatica                              
    – Levante software                               
    – Halley Sardegna                                
    – SpecTec S.P.A.                                 
    – Mito Srl                                       
    – Mori Sistemi                                   
    – Overclockersmania Club (OCSM)                  
    – Isiline                                        
    – Agenzia Filodiretto                            
    – NWHR S.r.l.s.                                  
    – Tekio                                          
    ✓ NewEnergy                                      
https://www.linkedin.com/company/newenergy/
    – Skrik                                          
    – Movisystem S.r.l.                              
    – Wide                                           
    – Engineering Ingegneria Informatica S.p.A.      
    – STS Srl                                        
    – Iscanet                                        
    – Sisac Sistemi                                  
    – Parametric Design Srl                          
    – Hipatia.net                                    
    – smartbee | web social agency                   
    – Spin                                           
    – BIDATA                                         
    – Sanmarco Informatica Spa                       
    – Belvedere sistemi reti e sicurezza dati azien  
    – Procne srl                                     
    – Impresa Rossi Lugi Srl                         
    – Web Creation Crew                              
    – Geeks                                          
    – Agenzia Uno                                    
    – 4You                                           
    – Studio Nassisi                                 
    – Cliocom                                        
    – Rubino Informatica & Finanza                   
    – Modic                                          
    – GEM Informatica                                
    – Aderit S.r.l                                   
    – Casa Digitale                                  
    – Penta srl                                      
    – EBWorld s.r.l.                                 
    – Obitel                                         
    – GP Informatica                                 
    – Netribe                                        
    – IBS SAS                                        
    – Internet Point Creative                        
    – NetHome                                        
    – Centro Dati, Informatica e telematica di Aten  
    – Data Consult                                   
    ✓ CostaSoft di Luca Pellegrini                   
https://www.linkedin.com/company/costasoft-di-luca-pellegrini/
    – BIP Red                                        
    – NTT Data Italia                                
    – Teleset                                        
    – NonSoloInformatica srl                         
    – YetOpen S.r.l.                                 
    – MagicSolution s.r.l.                           
    – SmartNet s.r.l.                                
    – PolesineLab                                    
    – SIA Servizio Informatico Ospedaliero           
    – EL.DA System srl elaborazione dati             
    – MVitalia di Maurizio Voglino                   
    – Maint System                                   
    – GLDT Consulting                                
    – Gananet                                        
    – Record Data                                    
    – Wemapp                                         
    – Innovyou                                       
    – Web Project                                    
    ✓ Tagetik                                        
https://www.linkedin.com/company/tagetik/
    – Mklab Centro Assistenza Informatica            
    – Zucchetti                                      
    – Gianleo Canestrino                             
    – Forma Srl                                      
    – Telemar                                        
    – Mead Informatica                               
    – Wide Academy                                   
    – ENAC Veneto                                    
    – Net Genesis                                    
    – ICT Dynamic                                    
    ✓ CAST SYS-DAT GROUP                             
https://www.linkedin.com/company/cast/
    – Made Siti Web                                  
    – CIA - Confederazione Italiana Agricoltori      
    – Polyskills.it                                  
    – MG Informatica                                 
    – Imola Informatica                              
    – Sergio Vecchi & C. SNC                         
    – Motta sistemi                                  
    – NemesiX Srl                                    
    – GSI Soluzioni Informatiche                     
    – New Technology sas                             
    – Microkey                                       
    – Euris                                          
    – levelzero.it - Consulenza Informatica          
    – Backloop                                       
    – Comunicazione e Immagine di David Coen         
    – Daniele Tomei                                  
    – Pasquale 'sid' Fiorillo - IT Security Auditor  
    – Sbam Industrie Digitali                        
    – TeknoTeam                                      
    – Selda                                          
    – 3 Bit Solutions                                
    – Dgcom S.r.l.                                   
    – SmartSiti                                      
    ✓ Developing.it                                  
https://www.linkedin.com/company/developing/
    – CPE Sistemi di Paolo Campora                   
    – ITSERVICENET                                   
    – Levita srl                                     
    – Istrice srl                                    
    – Synapta                                        
    – Ricoh Italia                                   
    – Antreem                                        
    – MathWorks Italia                               
    – Laser Informatica                              
    – Novus Studios                                  
    – Charta servizi e sistemi per il territorio e   
    – Gruppo Sigla                                   
    – Progetti Brescia S.r.l.                        
    – Ivan Zaccaron                                  
    – Iviso Lab                                      
    – Integrated Solutions SRL                       
    – CRESO                                          
    – Geologo Stefano Brugnaro                       
    – Connecting Italia                              
    – TekSoft                                        
    – Neonevis Srl                                   
    – 2M Digitech                                    
    – Nethesis                                       
    – Dot Next                                       
    – Crispy Bacon Srl                               
    – NTT Data                                       
    – Olivetti                                       
    ✓ Purple soft                                    
https://www.linkedin.com/company/purple-soft/
    – Drone System / Grandalab / Seven Team          
    – WellVenice S.A.S. di Savonuzzi Cristina & C.   
    ✓ Corilla Srl                                    
https://www.linkedin.com/company/corilla/
    – ER Informatica                                 
    – inKnot Srls                                    
    – Made in Bit                                    
    – Made in App                                    
    – Ricoh                                          
    – Sistemi Reggio Emilia                          
    – Myntech s.r.l.                                 
    – Safety21 S.P.A.                                
    – PrivacyLab                                     
    – Sofos                                          
    – Siteam                                         
    – The Web Engine                                 
    – LogicLab                                       
    – Brianza Sistemi Informatici                    
    – Massive Informatica                            
    – Digital Queen                                  
    – Collins IT Solutions                           
    – Mario Calafiore Telecommunication              
    – Gruppo Sergros                                 
    ✓ Eniacom Srl                                    
https://www.linkedin.com/company/eniacom/
    – Sis.Ter                                        
    – Telebit Consulting S.r.l.                      
    – Software Workers                               
    – Open Fiber                                     
    ✓ Global System                                  
https://www.linkedin.com/company/global-system/
    – Ctr Service                                    
    – GeoSolutions S.A.S. Offices                    
    – Pacem                                          
    – PC e stuti                                     
    – Niutrox                                        
    – Ing. Francesco Scorziero                       
    – Gruppo FOS                                     
    – Europa Computer                                
    – HTS - Hi-Tech Services                         
    – Office Computers Solution                      
    – Centro Friuli                                  
    – Sistemi Cuneo                                  
    ✓ FVG-IX – Friuli Venezia Giulia Internet eXcha  
https://www.linkedin.com/company/inasset/
    – Multiwire                                      
    – Devcode srl                                    
    – S. H. D.                                       
    – Tenenga                                        
    – Associazione Rousseau                          
    ✓ I3Lab                                          
https://www.linkedin.com/company/i3lab/
    – Adrias Online                                  
    ✓ Coin Store                                     
https://www.linkedin.com/company/coin-store/
    – Softwarrando                                   
    ✓ Opensoftware Srl                               
https://www.linkedin.com/company/opensoftware/
    – ION Trading                                    
    – Ottozero                                       
    – Vemenia Data System                            
    – Aesys                                          
    – Spark Security                                 
    – ICT Anastasi                                   
    – Faunalia SRL                                   
    – EPROM                                          
    – Uniservices srl                                
    – Inner Web S.r.l.                               
    – Italy Adsl                                     
    – Endo7 GmbH                                     
    – Contradata                                     
    – Modi - Società di Consulenza e formazione Qua  
    – Goccia Di Carnia Spa                           
    – Hexation                                       
    – Turcotronics                                   
    – Parentesikuadra Srl                            
    – Cobryx s.r.l.                                  
    – Arte nel Web                                   
    – MaintSoft                                      
    – Reply                                          
    – Zattara S.R.L.                                 
    – I-node Consulenza Informatica                  
    – Tritatasti S.N.C.                              
    – Connessioni                                    
    – Dedagroup                                      
    – SUZOHAPP                                       

  LinkedIn found: 21/299
  Saved 299 new leads to DB
  CSV → leads_export\leads_IT_IT_Software.csv  (299 rows)

────────────────────────────── IT / Construction ──────────────────────────────
  [  1] overpass     Annalisa Ferrarese
  [  2] overpass     Ordine degli Ingegneri della Provincia di Trieste
  [  3] overpass     Ing. Pini Giorgio
  [  4] overpass     Ing. Alessio Sanavio
  [  5] overpass     Studio Tecnico Ingegnere Fonte Salvatore
  [  6] overpass     ing. Daniele Agapito
  [  7] overpass     Sako Petrit
  [  8] overpass     Christian Gallace
  [  9] overpass     Bianchi e Imburgia
  [ 10] overpass     Studio Tecnico Topografico A.M. dei geom. Ardito &
  [ 11] overpass     BONUS MULTISERVIZI SRL
  [ 12] overpass     Studio tecnico di ingegneria - Dott. Ing. Michele 
  [ 13] overpass     Giuseppe Lapadula
  [ 14] overpass     Ing. Sebastiano Chiarello
  [ 15] overpass     Gemas
  [ 16] overpass     Luca Melegari
  [ 17] overpass     Studio Ingegneria - Ing. Todaro
  [ 18] overpass     Francesco De Gaetano
  [ 19] overpass     Manens
  [ 20] overpass     Zini Elio
  [ 21] overpass     Studio Tecnico Zeta
  [ 22] overpass     Ramundo Sicilf
  [ 23] overpass     Edilizia Acrobatica
  [ 24] overpass     Studio Ingegnere Roggeri
  [ 25] overpass     RQuadro bioedilizia
  [ 26] overpass     Studio di progettazione Ing. Roberto Ciriolo
  [ 27] overpass     Officina Veneta
  [ 28] overpass     Cnika
  [ 29] overpass     Peverelli & Co.
  [ 30] overpass     Studio di Ingegneria Ing. Alessio Mulas
  [ 31] overpass     Nuovo Rame
  [ 32] overpass     Abitare S.R.L.
  [ 33] overpass     Giuseppe Mirenda
  [ 34] overpass     ISOS.INGEGNERIA
  [ 35] overpass     Grisendi Costruzioni Srl
  [ 36] overpass     Ing. Beatrice Carnevale
  [ 37] overpass     Maria Virginia Fasano
  [ 38] overpass     Bion
  [ 39] overpass     Trabis Costruzioni Srl
  [ 40] overpass     Studio progettazione integrata
  [ 41] overpass     DGStudio
  [ 42] overpass     NEXT
  [ 43] overpass     Ediltoscana di Geom. Luca Panichi
  [ 44] overpass     Ing. Andrea Palumbo
  [ 45] overpass     Habitat Costruzioni
  [ 46] overpass     La Mercurio
  [ 47] overpass     EquiWatt
  [ 48] overpass     SerTecPro
  [ 49] overpass     Technisches Büro Roland Telfser
  [ 50] overpass     Marco Lenzi
  [ 51] overpass     Piacentini Ingegneri
  [ 52] overpass     d.crea
  [ 53] overpass     Alta Costruzioni Srl.
  [ 54] overpass     Edil Damato
